filename,image_id,group_id,cnt_people,cnt_group,box_detected_person,group_box,box_within_group,cnt_person_within_group,person_box_is_unreal_person,has_unreal,source,id
1086968252060072.jpg,1.0,0.0,10.0,2.0,"[[71, 444, 150, 582], [144, 430, 165, 476], [196, 416, 226, 476], [226, 403, 260, 468], [331, 372, 361, 445], [349, 371, 383, 433], [555, 319, 607, 456], [603, 316, 643, 431], [622, 307, 681, 445], [978, 256, 990, 292]]","[331, 371, 383, 445]","[[331, 372, 361, 445], [349, 371, 383, 433]]",2.0,,False,mapillary,1086968252060072
1086968252060072.jpg,1.0,1.0,10.0,2.0,"[[71, 444, 150, 582], [144, 430, 165, 476], [196, 416, 226, 476], [226, 403, 260, 468], [331, 372, 361, 445], [349, 371, 383, 433], [555, 319, 607, 456], [603, 316, 643, 431], [622, 307, 681, 445], [978, 256, 990, 292]]","[555, 307, 681, 456]","[[555, 319, 607, 456], [603, 316, 643, 431], [622, 307, 681, 445]]",3.0,,False,mapillary,1086968252060072
644117900055935.jpg,2.0,0.0,10.0,3.0,"[[560, 414, 578, 446], [789, 420, 799, 445], [815, 422, 830, 459], [851, 427, 863, 463], [864, 424, 880, 464], [886, 421, 900, 460], [899, 426, 914, 465], [914, 426, 962, 549], [943, 433, 997, 543], [1007, 455, 1023, 516]]","[851, 424, 880, 464]","[[851, 427, 863, 463], [864, 424, 880, 464]]",2.0,,False,mapillary,644117900055935
644117900055935.jpg,2.0,1.0,10.0,3.0,"[[560, 414, 578, 446], [789, 420, 799, 445], [815, 422, 830, 459], [851, 427, 863, 463], [864, 424, 880, 464], [886, 421, 900, 460], [899, 426, 914, 465], [914, 426, 962, 549], [943, 433, 997, 543], [1007, 455, 1023, 516]]","[886, 421, 914, 465]","[[886, 421, 900, 460], [899, 426, 914, 465]]",2.0,,False,mapillary,644117900055935
644117900055935.jpg,2.0,2.0,10.0,3.0,"[[560, 414, 578, 446], [789, 420, 799, 445], [815, 422, 830, 459], [851, 427, 863, 463], [864, 424, 880, 464], [886, 421, 900, 460], [899, 426, 914, 465], [914, 426, 962, 549], [943, 433, 997, 543], [1007, 455, 1023, 516]]","[914, 426, 997, 549]","[[914, 426, 962, 549], [943, 433, 997, 543]]",2.0,,False,mapillary,644117900055935
120902010039939.jpg,3.0,0.0,4.0,1.0,"[[223, 333, 290, 531], [283, 381, 304, 436], [318, 298, 391, 518], [386, 367, 408, 432]]","[223, 298, 391, 531]","[[223, 333, 290, 531], [283, 381, 304, 436], [318, 298, 391, 518]]",3.0,,False,mapillary,120902010039939
491863857088549.jpg,5.0,0.0,6.0,2.0,"[[127, 259, 148, 320], [143, 271, 159, 316], [444, 281, 461, 306], [710, 294, 731, 326], [961, 306, 990, 389], [979, 303, 1008, 385]]","[127, 259, 159, 320]","[[127, 259, 148, 320], [143, 271, 159, 316]]",2.0,"[444, 281, 461, 306]",False,mapillary,491863857088549
491863857088549.jpg,5.0,1.0,6.0,2.0,"[[127, 259, 148, 320], [143, 271, 159, 316], [444, 281, 461, 306], [710, 294, 731, 326], [961, 306, 990, 389], [979, 303, 1008, 385]]","[961, 303, 1008, 389]","[[961, 306, 990, 389], [979, 303, 1008, 385]]",2.0,"[444, 281, 461, 306]",False,mapillary,491863857088549
1311639009329265.jpg,6.0,0.0,9.0,2.0,"[[140, 392, 153, 424], [190, 396, 207, 424], [268, 587, 580, 764], [501, 422, 519, 458], [514, 426, 543, 497], [576, 434, 600, 507], [602, 435, 626, 506], [625, 431, 641, 462], [644, 431, 660, 465]]","[576, 434, 626, 507]","[[576, 434, 600, 507], [602, 435, 626, 506]]",2.0,"[140, 392, 153, 424]",False,mapillary,1311639009329265
1311639009329265.jpg,6.0,1.0,9.0,2.0,"[[140, 392, 153, 424], [190, 396, 207, 424], [268, 587, 580, 764], [501, 422, 519, 458], [514, 426, 543, 497], [576, 434, 600, 507], [602, 435, 626, 506], [625, 431, 641, 462], [644, 431, 660, 465]]","[625, 431, 660, 465]","[[625, 431, 641, 462], [644, 431, 660, 465]]",2.0,"[140, 392, 153, 424]",False,mapillary,1311639009329265
1375146752848425.jpg,10.0,0.0,3.0,1.0,"[[412, 147, 613, 641], [891, 423, 1023, 678], [897, 529, 1024, 673]]","[891, 423, 1024, 678]","[[891, 423, 1023, 678], [897, 529, 1024, 673]]",2.0,,False,mapillary,1375146752848425
174201747905157.jpg,11.0,0.0,3.0,1.0,"[[509, 272, 517, 292], [517, 276, 523, 291], [593, 263, 606, 295]]","[509, 272, 523, 292]","[[509, 272, 517, 292], [517, 276, 523, 291]]",2.0,,False,mapillary,174201747905157
191865382771534.jpg,12.0,0.0,4.0,1.0,"[[253, 165, 456, 538], [603, 192, 783, 514], [831, 262, 871, 377], [880, 264, 923, 379]]","[831, 262, 923, 379]","[[831, 262, 871, 377], [880, 264, 923, 379]]",2.0,,False,mapillary,191865382771534
2826030754325412.jpg,16.0,0.0,14.0,2.0,"[[13, 272, 37, 323], [86, 265, 104, 312], [107, 259, 127, 307], [219, 257, 234, 290], [564, 234, 579, 268], [589, 239, 601, 264], [599, 229, 617, 269], [624, 234, 638, 268], [647, 223, 668, 272], [666, 223, 679, 262], [690, 213, 711, 268], [724, 217, 752, 274], [785, 211, 806, 267], [885, 220, 942, 312]]","[86, 259, 127, 312]","[[86, 265, 104, 312], [107, 259, 127, 307]]",2.0,"[785, 211, 806, 267]",False,mapillary,2826030754325412
2826030754325412.jpg,16.0,1.0,14.0,2.0,"[[13, 272, 37, 323], [86, 265, 104, 312], [107, 259, 127, 307], [219, 257, 234, 290], [564, 234, 579, 268], [589, 239, 601, 264], [599, 229, 617, 269], [624, 234, 638, 268], [647, 223, 668, 272], [666, 223, 679, 262], [690, 213, 711, 268], [724, 217, 752, 274], [785, 211, 806, 267], [885, 220, 942, 312]]","[589, 229, 617, 269]","[[589, 239, 601, 264], [599, 229, 617, 269]]",2.0,"[785, 211, 806, 267]",False,mapillary,2826030754325412
478871530053094.jpg,17.0,0.0,4.0,1.0,"[[476, 244, 493, 262], [518, 259, 532, 292], [531, 266, 540, 289], [542, 261, 557, 291]]","[518, 259, 540, 292]","[[518, 259, 532, 292], [531, 266, 540, 289]]",2.0,,False,mapillary,478871530053094
763344694335754.jpg,18.0,0.0,2.0,1.0,"[[514, 499, 537, 538], [553, 498, 584, 536]]","[514, 498, 584, 538]","[[514, 499, 537, 538], [553, 498, 584, 536]]",2.0,,False,mapillary,763344694335754
